recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10
Dominance,LCS-Ponderado,15,2,5.4609114064605856E-5,2.9493305263904264E-4,0.0025551688461581427,0.0015554306728683353,0.008524959005970117,0.0020969081598386776,0.0027868428447978097,0.020314757035227695
Dominance,LCS-Ponderado,15,5,0.0016260248317487248,0.004918489018119737,0.008281136435705116,0.008597237275525998,0.013231655816956256,0.014886201022054745,0.04637884247695114,0.08312020674656789
Dominance,LCS-Ponderado,15,7,0.0018953001024608596,0.009951142146048518,0.009045647841543113,0.009827669028740256,0.01814433744217893,0.015938149603436227,0.05629046009879306,0.08671721369428265
Dominance,LCS-Ponderado,15,10,0.0022469912201489592,0.017743091522448184,0.010281301759436059,0.011306008147448613,0.02109456733228028,0.036353522999574776,0.0860274392541186,0.10425902219764693
Dominance,LCS-Ponderado,15,0,9.607278647027817E-4,0.006583646118023402,0.006980851644699621,0.0043203400279048666,0.013697882756664365,0.024965650841802047,0.030224967569254642,0.027256194600838567
Dominance,LCS-Ponderado,20,2,0.0013938151800770946,2.9493305263904264E-4,0.0014857993460982927,6.993602898219099E-4,0.009880720189620931,0.002881915504433006,0.015114141225899285,0.008635641706814856
Dominance,LCS-Ponderado,20,5,0.0014682237951801366,0.00480510032615917,0.006273560828544633,0.005784773737469795,0.022262051506610262,0.04423057252145936,0.04687423188456146,0.031835060135619306
Dominance,LCS-Ponderado,20,7,0.0015705231158521281,0.013927664151659459,0.022634726954414576,0.007881678840587391,0.025507187643612747,0.057464548422353816,0.05351134357377222,0.04098187768254196
Dominance,LCS-Ponderado,20,10,0.002125005119324204,0.015377906054762566,0.02500636955039971,0.012032575573410555,0.028722949590560327,0.06679654718108269,0.07315019797575159,0.06224867167697207
Dominance,LCS-Ponderado,20,0,0.0018460908647894001,0.003889159054411853,0.004153633401722252,0.00867350953995314,0.01880741779622486,0.020583457368396053,0.03722501655213806,0.024308021477052
Dominance,LCS-Ponderado,25,2,0.0013672231093490937,3.24749976725154E-4,0.001482373974836219,4.778559257978144E-4,0.007822932984709725,0.0018954644801341283,0.008461187817666915,0.013324681237780469
Dominance,LCS-Ponderado,25,5,0.002347752008449261,0.004800124646173212,0.0017655073756809875,0.014340895617454602,0.02466872181206633,0.03424815625156051,0.03634719401454258,0.0653143459408023
Dominance,LCS-Ponderado,25,7,0.002547519302258691,0.007671521992722193,0.014896987148597518,0.016448178098084618,0.04569445300397681,0.055468721286872504,0.04363349825734944,0.0896871231509839
Dominance,LCS-Ponderado,25,10,0.003031729640970913,0.00978765442887829,0.018783857658793597,0.031849262891000936,0.047605088174554874,0.06132060194852976,0.07602054320256041,0.1073055317709065
Dominance,LCS-Ponderado,25,0,0.0016861500497016451,0.001918516987453198,0.013118051365384327,0.011937623745406568,0.02334120607176338,0.012742121508317196,0.03524866531680899,0.035036910144657
Dominance,LCS-Ponderado,30,2,0.0017243659664919505,2.7728913192211647E-4,6.7396991972783E-4,0.003235850619276379,0.009131103371054217,7.124991804495857E-4,0.0016808447443235305,0.013677479712604686
Dominance,LCS-Ponderado,30,5,0.009629690844523477,0.00484861810015858,0.002575107127069808,0.013229911180371689,0.03233449782063231,0.029413162825764515,0.0401335876023003,0.04405044727859192
Dominance,LCS-Ponderado,30,7,0.009938733871538801,0.01732208476803678,0.014341123364843104,0.015110334139205164,0.05072454501973929,0.07508725619323996,0.07505671569941826,0.1283848067965353
Dominance,LCS-Ponderado,30,10,0.015419018842473379,0.018786976717148324,0.018161532151966163,0.01858249506240853,0.05862704598267027,0.08350930712923385,0.1345354917754951,0.14703728912364422
