recommender,similarity,neighbor_size,rec_size,Temporal-7-1-2,Temporal-7-2-3,Temporal-7-3-4,Temporal-7-4-5,Temporal-7-5-6,Temporal-7-6-7,accum
Dominance,LCS-Puro,20,2,0.0,9.880446596186147E-5,0.0,2.2038567493112948E-4,0.0,0.0,3.1919014089299097E-4
Dominance,LCS-Puro,20,5,0.0037061260082842814,4.171744118389707E-4,0.0,8.833041537069489E-4,2.4100070741861788E-4,6.582069140200642E-4,0.0059058121952688825
Dominance,LCS-Puro,20,7,0.0041119303970313485,0.0024611094643700116,0.005043859649122807,8.833041537069489E-4,0.0013252096685605684,6.582069140200642E-4,0.01448362024681175
Dominance,LCS-Puro,20,10,0.005358309916792163,0.0032797750394825778,0.01293859649122807,0.0014015083082747396,0.005990739031670578,6.582069140200642E-4,0.029627135701468195
Dominance,LCS-Puro,20,0,0.003806046072233123,0.0010145998550708342,0.0026315789473684206,0.0012419186816004736,0.003183028534695231,4.065607285568256E-4,0.012283732819524908
Dominance,LCS-Puro,25,2,0.0,9.880446596186147E-5,3.9473684210526315E-4,2.2038567493112948E-4,0.0,0.0,7.139269829982541E-4
Dominance,LCS-Puro,25,5,1.0900370612600829E-4,4.171744118389707E-4,8.333333333333333E-4,6.629184787758194E-4,4.623774570583081E-4,1.9747235387045813E-4,0.0026822797410028985
Dominance,LCS-Puro,25,7,4.99820085280749E-4,6.464007728704893E-4,0.005438596491228071,0.012006298806113366,5.449838540976948E-4,1.9747235387045813E-4,0.019333572363460828
Dominance,LCS-Puro,25,10,0.0023675458460211303,0.0037205949645431917,0.013333333333333332,0.012006298806113366,9.553021991986488E-4,4.065607285568256E-4,0.032789635877766496
Dominance,LCS-Puro,25,0,0.0,5.181209800439076E-4,0.010964912280701754,0.011558488316665701,0.0020227829260658133,3.9494470774091627E-4,0.025459249211218095
Dominance,LCS-Puro,30,2,9.721952167995334E-5,4.171744118389707E-4,3.9473684210526315E-4,2.2038567493112948E-4,1.214063714063714E-4,0.0,0.0012509228219616882
Dominance,LCS-Puro,30,5,2.0622322780596163E-4,6.464007728704893E-4,0.0023684210526315787,6.629184787758194E-4,4.623774570583081E-4,1.9747235387045813E-4,0.004543813343012615
Dominance,LCS-Puro,30,7,2.0622322780596163E-4,0.001465066347983056,0.005438596491228071,0.011682202225332294,5.449838540976948E-4,1.9747235387045813E-4,0.019534544500317535
Dominance,LCS-Puro,30,10,0.0010586322097113465,0.004098440614595145,0.013333333333333332,0.011682202225332294,6.309125237815418E-4,3.00876059169898E-4,0.03110439696592356
Dominance,LCS-Puro,30,0,0.0010736672036597613,0.0026685047433985284,8.333333333333333E-4,0.011633013226349378,0.0010576914852081572,3.5504989076267854E-4,0.017621259882711838
Dominance,LCS-Puro,40,2,9.721952167995334E-5,9.880446596186147E-5,0.0,0.0,1.232741617357002E-4,0.0,3.19298149377515E-4
Dominance,LCS-Puro,40,5,3.698652048937338E-4,3.280308269933801E-4,6.578947368421051E-4,0.0037356520844247856,2.446805331420716E-4,1.9747235387045813E-4,0.0055335957401665345
Dominance,LCS-Puro,40,7,0.0022774300620988785,3.280308269933801E-4,7.775119617224879E-4,0.015234782655122087,2.446805331420716E-4,4.607688256977356E-4,0.019323204864776643
Dominance,LCS-Puro,40,10,0.0024213149541852095,0.002097793173192605,0.009066985645933015,0.026342778289229905,2.950756307069805E-4,4.607688256977356E-4,0.040684716518945445
Dominance,LCS-Puro,40,0,1.2403870007442322E-4,7.435305868668954E-4,3.9473684210526315E-4,0.004197609711500013,9.854387550962162E-4,0.0011190100052659293,0.007564364600908741
Dominance,LCS-Puro,50,2,9.721952167995334E-5,0.0016671008075019535,0.0,0.0,1.232741617357002E-4,0.0,0.001887594490917607
Dominance,LCS-Puro,50,5,1.471795536543738E-4,0.0033289919249804636,5.263157894736842E-4,0.004252606136732373,0.004251090789552328,1.9747235387045813E-4,0.012703656548263682
Dominance,LCS-Puro,50,7,0.0025262243697495496,0.003630605557916673,6.45933014354067E-4,0.015271889883288847,0.005369961958659903,1.9747235387045813E-4,0.0276420871378395
Dominance,LCS-Puro,50,10,0.0026701092618358806,0.008265697417009879,0.008935406698564593,0.015271889883288847,0.005603458318473923,3.2614212290822274E-4,0.041072703702081347
Dominance,LCS-Puro,50,0,9.721952167995334E-5,0.0016671008075019535,0.0,1.0839724944048194E-4,0.004646640580263409,0.0015934372290658879,0.008112795387951685
Dominance,LCS-Puro,5,2,0.0022073250490516677,9.17470041074428E-4,0.0,8.761845784926331E-4,0.0014550644214823317,0.0017772511848341234,0.007233295274935184
Dominance,LCS-Puro,5,5,0.0028801634017461353,0.0019141184881837088,0.010526315789473682,0.0013057962933708059,0.0017900670430703195,0.0017772511848341234,0.020193712200678778
Dominance,LCS-Puro,5,7,0.0028801634017461353,0.0034439130586271065,0.010526315789473682,0.002683206761690365,0.004145123189110072,0.0017772511848341234,0.025455973385481483
Dominance,LCS-Puro,5,10,0.006807527553377617,0.006750062496581701,0.010526315789473682,0.0034904333617288043,0.00430393092296471,0.0017772511848341234,0.033655521308960636
