recommender,similarity,neighbor_size,rec_size,Temporal-4-1-2,Temporal-4-2-3,Temporal-4-3-4,accum
Dominance,LCS-Puro,30,7,0.0016826923076923076,0.0010559497589135612,0.012336826622540906,0.015075468689146776
Dominance,LCS-Puro,30,10,0.003172728539576366,0.0010559497589135612,0.012938959367530796,0.017167637666020724
Dominance,LCS-Puro,30,0,0.0015625,0.0011074517186986626,7.565983432605303E-4,0.0034265500619591925
Dominance,LCS-Puro,40,2,0.0,0.0,0.0020408163265306124,0.0020408163265306124
Dominance,LCS-Puro,40,5,0.0012121212121212121,3.518798616896297E-4,0.0020408163265306124,0.003604817400341454
Dominance,LCS-Puro,40,7,0.0014681830850309112,3.518798616896297E-4,0.0020800627943485086,0.0039001257410690494
Dominance,LCS-Puro,40,10,0.001652006614442676,3.6239593814150545E-4,0.002171991457705744,0.004186394010289925
Dominance,LCS-Puro,40,0,0.00122034445106214,2.2485616958807384E-4,0.002603464609482056,0.00404866523013227
Dominance,LCS-Puro,50,2,0.0,0.0,0.0020408163265306124,0.0020408163265306124
Dominance,LCS-Puro,50,5,0.0010416666666666667,2.4074405373230583E-4,0.007142857142857142,0.008425267863256114
Dominance,LCS-Puro,50,7,0.0012977285395763655,3.222436462343433E-4,0.01054421768707483,0.012164189872885537
Dominance,LCS-Puro,50,10,0.001899054297152123,4.0574443238953627E-4,0.010632183908045979,0.012936982637587639
Dominance,LCS-Puro,50,0,5.636415525114155E-4,8.149959250203749E-5,0.005746300241130341,0.0063914413861437935
Dominance,LCS-Puro,5,2,8.223684210526316E-5,2.1269829684966712E-4,8.109971313544374E-5,3.76034852090374E-4
Dominance,LCS-Puro,5,5,3.817160087719298E-4,9.11266232581417E-4,0.002174786928954414,0.003467769170307761
Dominance,LCS-Puro,5,7,6.942160087719298E-4,0.0011705831178151728,0.0022341129849582112,0.004098912111545314
Dominance,LCS-Puro,5,10,0.0011775028242955875,0.001200400041901284,0.002506594706647638,0.0048844975728445095
Dominance,LCS-Puro,5,0,4.375450612833454E-4,6.041766834380782E-4,7.449988286378841E-4,0.0017867205733593078
Dominance,LCS-Puro,60,2,0.0,0.0,0.0020408163265306124,0.0020408163265306124
Dominance,LCS-Puro,60,5,1.4204545454545454E-4,1.811102055600833E-4,0.0020408163265306124,0.0023639719866361503
Dominance,LCS-Puro,60,7,5.904150197628458E-4,3.952283559376605E-4,0.0021049929405724554,0.0030906363162729617
Dominance,LCS-Puro,60,10,0.0016320816864295127,3.952283559376605E-4,0.0027253624542343136,0.004752672496601487
Dominance,LCS-Puro,60,0,1.926877470355731E-4,1.6243548196165098E-4,0.0024109079790255597,0.002766031208022784
Dominance,LCS-Puro,8,2,8.223684210526316E-5,0.0011177086971708,0.0,0.0011999455392760633
Dominance,LCS-Puro,8,5,4.5786815523657625E-4,0.0021039222534979763,9.192866335723478E-5,0.0026537190720917875
Dominance,LCS-Puro,8,7,8.094306552365763E-4,0.0022880427711586175,0.007234785806214379,0.010332259232609572
Dominance,LCS-Puro,8,10,8.725619683678896E-4,0.002369542363660655,0.01072826370753832,0.013970368039566864
Dominance,LCS-Puro,8,0,2.6664817931456545E-4,0.002710241624987264,0.004424034774719419,0.007400924579021249
Dominance,LCS-R,10,2,0.003153409090909091,1.3971358714634998E-4,3.0921459492888065E-5,0.0033240441375483286
Dominance,LCS-R,10,5,0.003413825757575758,1.3971358714634998E-4,2.3100149150569318E-4,0.003784540836227801
Dominance,LCS-R,10,7,0.004455492424242424,4.378752841936522E-4,0.0022966452672641717,0.007190012975700248
Dominance,LCS-R,10,10,0.005146780303030303,5.515956458244022E-4,0.002315231936904706,0.008013607885759411
Dominance,LCS-R,10,0,0.003125,5.150863438569264E-4,0.0010498939752330598,0.004689980319089987
Dominance,LCS-R,15,2,0.0036458333333333334,2.1269829684966712E-4,6.082432973189276E-4,0.004466774927501928
Dominance,LCS-R,15,5,0.0036458333333333334,0.0010276942218700419,6.391647568118157E-4,0.0053126923120151905
Dominance,LCS-R,15,7,0.00390625,0.006215831469039594,0.0026985677529829614,0.012820649222022555
Dominance,LCS-R,15,10,0.004651442307692308,0.006329551830670344,0.002785908245705738,0.01376690238406839
Dominance,LCS-R,15,0,0.004538255360623781,0.005143952861356065,0.0014382600935734218,0.011120468315553267
Dominance,LCS-R,20,2,0.0011458333333333333,1.3971358714634998E-4,2.000800320128051E-4,0.0014856269524924884
Dominance,LCS-R,20,5,0.004270833333333333,1.3971358714634998E-4,2.502582856553608E-4,0.004660805206135044
Dominance,LCS-R,20,7,0.004299242424242424,0.009032377766226698,0.002463787302466783,0.015795407492935905
Dominance,LCS-R,20,10,0.004299242424242424,0.009202958308672822,0.002463787302466783,0.01596598803538203
Dominance,LCS-R,20,0,0.003870192307692308,3.943491298890343E-4,6.041845393415575E-4,0.004868725976922899
Dominance,LCS-R,25,2,0.0011458333333333333,1.6953051123246127E-4,0.0,0.0013153638445657946
Dominance,LCS-R,25,5,0.004466145833333333,1.9934743531857253E-4,0.0,0.004665493268651906
Dominance,LCS-R,25,7,0.004766787229142606,9.883964685586694E-4,0.0020717377860235003,0.007826921483724776
Dominance,LCS-R,25,10,0.004962099729142606,0.0010995322765159933,0.0020717377860235003,0.0081333697916821
Dominance,LCS-R,25,0,0.004425747863247864,4.041396495830239E-4,5.730611164948645E-4,0.005402948629325752
Dominance,LCS-R,30,2,5.208333333333333E-4,1.6953051123246127E-4,6.98909700866648E-5,7.602548146524595E-4
Dominance,LCS-R,30,5,0.003787878787878788,5.286387181550876E-4,8.847763972719862E-5,0.0044049951457610734
Dominance,LCS-R,30,7,0.0038162878787878786,9.73181949984383E-4,0.0124228850869166,0.017212354915688864
Dominance,LCS-R,30,10,0.0038162878787878786,0.001030042130799758,0.0124228850869166,0.017269215096504236
Dominance,LCS-R,30,0,0.0031640624999999998,3.704526931910795E-4,0.010871811781217334,0.014406326974408414
Dominance,LCS-R,40,2,0.0,0.0,0.002129293966257811,0.002129293966257811
Dominance,LCS-R,40,5,1.4204545454545454E-4,2.4074405373230583E-4,0.0021537641860003842,0.0025365536942781445
Dominance,LCS-R,40,7,0.0017045454545454545,2.4074405373230583E-4,0.0021537641860003842,0.004099053694278145
Dominance,LCS-R,40,10,0.001967329545454545,2.9760423454768084E-4,0.0021537641860003842,0.0044186979660026104
Dominance,LCS-R,40,0,1.5058106575963716E-4,4.798484038277289E-4,0.0024443264241474118,0.003074755893734778
Dominance,LCS-R,50,2,0.0,1.811102055600833E-4,0.002129293966257811,0.0023104041718178944
Dominance,LCS-R,50,5,6.25E-4,2.4074405373230583E-4,0.002129293966257811,0.002995038019990117
Dominance,LCS-R,50,7,0.0021874999999999998,2.4074405373230583E-4,0.002129293966257811,0.004557538019990117
Dominance,LCS-R,50,10,0.004673207227555053,0.0019275960845884306,0.0022083463950628704,0.008809149707206355
Dominance,LCS-R,50,0,8.061079545454546E-4,3.186363874514325E-4,4.524638609652035E-4,0.0015772082029620908
Dominance,LCS-R,5,2,1.358695652173913E-4,1.3971358714634998E-4,2.1866670165333896E-4,4.942498540170802E-4
Dominance,LCS-R,5,5,5.383316864295125E-4,4.378752841936522E-4,0.002330940587112843,0.0033071475577360074
Dominance,LCS-R,5,7,5.383316864295125E-4,5.62111722276278E-4,0.0023701870549307394,0.00347063046363653
Dominance,LCS-R,5,10,6.540724271702533E-4,7.056490079931393E-4,0.0024964970582472923,0.003856218493410685
Dominance,LCS-R,5,0,5.383316864295125E-4,1.4655579259475852E-4,0.002467385611337681,0.003152273090361952
Dominance,LCS-R,60,2,0.0,0.0,0.002110707296617277,0.002110707296617277
Dominance,LCS-R,60,5,9.659090909090908E-4,0.0,0.002187429714907902,0.0031533388058169924
Dominance,LCS-R,60,7,0.0010290404040404042,2.4074405373230583E-4,0.0022183511744007893,0.003488135632173499
Dominance,LCS-R,60,10,0.0026306029040404043,2.4074405373230583E-4,0.0029827767884759897,0.005854123746248699
Dominance,LCS-R,60,0,6.944444444444444E-5,2.0058658021565766E-4,0.001201953813112963,0.001471984837773065
Dominance,LCS-R,8,2,0.003125,1.3971358714634998E-4,2.000800320128051E-4,0.0034647936191591552
Dominance,LCS-R,8,5,0.004455492424242424,4.378752841936522E-4,0.002240896358543417,0.0071342640669794935
Dominance,LCS-R,8,7,0.004455492424242424,4.378752841936522E-4,0.0022594830281839513,0.007152850736620028
Dominance,LCS-R,8,10,0.0047071158008658,5.515956458244022E-4,0.0022594830281839513,0.007518194474874154
Dominance,LCS-R,8,0,0.0031818181818181815,4.2506874275941237E-4,5.195603379429193E-4,0.004126447262520513
Dominance,Levenshtein-Pond,10,2,0.0,7.086921087133695E-5,0.0,7.086921087133695E-5
Dominance,Levenshtein-Pond,10,5,0.0035133898579340628,0.0010824389038534368,1.1213276519398969E-4,0.004707961526981489
Dominance,Levenshtein-Pond,10,7,0.0035133898579340628,0.001225116481659968,0.010316214397847051,0.015054720737441081
Dominance,Levenshtein-Pond,10,10,0.00363358216562637,0.0033292877789852997,0.010316214397847051,0.01727908434245872
Dominance,Levenshtein-Pond,10,0,1.4204545454545454E-4,2.105827980176869E-4,4.563685851525153E-4,8.089968377156567E-4
Dominance,Levenshtein-Pond,15,2,2.6223776223776224E-4,0.0012933630984018993,0.0,0.0015556008606396616
Dominance,Levenshtein-Pond,15,5,5.085821656263707E-4,0.001653993428700643,2.482744922786633E-5,0.0021874030435548803
Dominance,Levenshtein-Pond,15,7,5.085821656263707E-4,0.002463697172389717,1.3696021442185602E-4,0.0031092395524379437
Dominance,Levenshtein-Pond,15,10,0.003633582165626371,0.0027630896716748753,1.3696021442185602E-4,0.0065336320517231025
Dominance,Levenshtein-Pond,15,0,4.6577394644828856E-4,4.6965063942408725E-4,0.0010083575200607884,0.0019437821059331642
Dominance,Levenshtein-Pond,20,2,0.003125,0.0012224938875305623,3.159158400202186E-5,0.004379085471532584
Dominance,Levenshtein-Pond,20,5,0.0032068707191780822,0.0012954785972338794,3.159158400202186E-5,0.004533940900413984
Dominance,Levenshtein-Pond,20,7,0.0041239902843954734,0.0012954785972338794,1.7331494001109217E-4,0.005592783821640445
Dominance,Levenshtein-Pond,20,10,0.0072489902843954745,0.0012954785972338794,1.7331494001109217E-4,0.008717783821640446
Dominance,Levenshtein-Pond,20,0,0.006674889905607595,0.0013143952513056509,0.001856945057501789,0.009846230214415034
Dominance,Levenshtein-Pond,25,2,7.753044140030442E-5,0.0012224938875305623,0.0,0.0013000243289308668
Dominance,Levenshtein-Pond,25,5,0.001987252663622527,0.0012954785972338794,3.159158400202186E-5,0.003314322844858428
Dominance,Levenshtein-Pond,25,7,0.0038667301833853725,0.002925470447274629,3.159158400202186E-5,0.006823792214662024
Dominance,Levenshtein-Pond,25,10,0.003953535738940929,0.002925470447274629,3.159158400202186E-5,0.00691059777021758
Dominance,Levenshtein-Pond,25,0,2.0339849695585996E-4,0.0012224938875305623,5.911760571519211E-4,0.0020170684416383434
Dominance,Levenshtein-Pond,30,2,4.280821917808219E-5,0.0012224938875305623,3.92464678178964E-5,0.001304548574526541
Dominance,Levenshtein-Pond,30,5,3.431514686059998E-4,0.0012954785972338794,0.005728431049314816,0.007367061115154695
Dominance,Levenshtein-Pond,30,7,0.002480824619210185,0.0031804853012326177,0.005781301938603174,0.011442611859045977
Dominance,Levenshtein-Pond,30,10,0.002480824619210185,0.003817663933521274,0.005870811426608904,0.012169299979340364
Dominance,Levenshtein-Pond,30,0,4.280821917808219E-5,0.0014669926650366747,0.005695528313352422,0.0072053291975671795
Dominance,Levenshtein-Pond,40,2,0.0,0.001333629695487886,1.7593244194229416E-4,0.0015095621374301802
Dominance,Levenshtein-Pond,40,5,1.2961377473363775E-4,0.0013441457719397618,3.980852337849433E-4,0.0018718447804583428
Dominance,Levenshtein-Pond,40,7,2.4980608242594545E-4,0.0014256453644417993,8.746494858593995E-4,0.0025501009327271442
Dominance,Levenshtein-Pond,40,10,0.004060113099969806,0.003014289913887674,9.275203751477573E-4,0.008001923389005237
