recommender,similarity,neighbor_size,rec_size,Temporal-8-1-2,Temporal-8-2-3,Temporal-8-3-4,Temporal-8-4-5,Temporal-8-5-6,Temporal-8-6-7,Temporal-8-7-8,accum
Dominance,LCS-Puro,10,7,0.001260876143654385,0.0021499238964992388,0.0031545741324921135,0.0010600685610539769,3.6496969331720306E-4,0.0010663476371440973,0.0010804916732751785,0.010137251737436192
Dominance,LCS-Puro,10,10,0.0031749699767177216,0.0021499238964992388,0.003548895899053628,0.0010600685610539769,0.0013424508936396291,0.0015619170982307997,0.002420697858842189,0.015258924184037183
Dominance,LCS-Puro,10,0,6.273840594258181E-4,0.0017694063926940642,0.003328029455026504,0.0010929157559035367,1.3988245186016772E-4,1.5667701089695974E-4,4.956383822363204E-5,0.007163858964030682
Dominance,LCS-Puro,15,2,5.20926890605353E-4,0.001141552511415525,4.639079606606049E-5,7.918164697825714E-4,1.1478771924454375E-4,3.5750035750035746E-5,0.0,0.0026512244228640894
Dominance,LCS-Puro,15,5,9.656471305474359E-4,0.001603609480321809,4.639079606606049E-5,8.774182502996063E-4,3.426935181809834E-4,3.5750035750035746E-5,2.498017446471055E-4,0.004121310955813036
Dominance,LCS-Puro,15,7,9.656471305474359E-4,0.001742226570993694,4.639079606606049E-5,8.774182502996063E-4,4.1233140118933993E-4,8.079508079508079E-4,2.993655828707375E-4,0.005151330539917682
Dominance,LCS-Puro,15,10,0.0041210612631485625,0.002427158077843009,4.407125626275747E-4,0.0023226948236802396,5.205078237352297E-4,0.0010010010010010012,3.547918105616809E-4,0.011187927362597296
Dominance,LCS-Puro,15,0,7.005568528830609E-4,0.0015220700152207,1.4497123770643906E-4,8.774182502996063E-4,3.507634426854483E-4,2.1254825903192963E-4,2.1006540294867532E-4,0.004018393460775859
Dominance,LCS-Puro,20,2,0.0011724826449351071,0.0,0.0,8.560178051703476E-5,1.1478771924454375E-4,0.0,4.956383822363204E-5,0.0014224359829203177
Dominance,LCS-Puro,20,5,0.001275905956549545,7.096607908494682E-4,0.0031545741324921135,8.560178051703476E-5,1.7266855706967127E-4,0.0,1.6162121159880012E-4,0.005560032429076633
