recommender,similarity,neighbor_size,rec_size,Temporal-4-1-2,Temporal-4-2-3,Temporal-4-3-4,accum
LCS-B,Levenshtein-Pond,15,10,0.006479111712364922,0.0013854930725346374,3.3433384367429354E-4,0.008198938628573852
LCS-B,Levenshtein-Pond,15,0,2.690972222222222E-4,2.6079869600651996E-4,2.615872283191266E-4,7.914831465478688E-4
LCS-B,Levenshtein-Pond,20,2,3.90625E-5,0.0,1.3605442176870748E-4,1.751169217687075E-4
LCS-B,Levenshtein-Pond,20,5,8.815870098039215E-4,1.6299918500407498E-4,1.3605442176870748E-4,0.001180640616576704
LCS-B,Levenshtein-Pond,20,7,0.0024440870098039217,1.6299918500407498E-4,3.595591241961266E-4,0.0029666453190041234
LCS-B,Levenshtein-Pond,20,10,0.005294964202786378,0.0013907511107605754,3.595591241961266E-4,0.0070452744377430794
LCS-B,Levenshtein-Pond,20,0,0.0029593841374269004,3.1636659998518187E-4,2.1393842822414253E-4,0.003489689165636225
LCS-B,Levenshtein-Pond,25,2,3.90625E-5,0.0,1.7722783755512637E-4,2.1629033755512638E-4
LCS-B,Levenshtein-Pond,25,5,0.0016912461007130123,1.6299918500407498E-4,1.7722783755512637E-4,0.002031473123272214
LCS-B,Levenshtein-Pond,25,7,0.002472496100713013,1.6299918500407498E-4,3.693117029138678E-4,0.003004806988630956
LCS-B,Levenshtein-Pond,25,10,0.0041994697849235384,0.0013907511107605754,3.693117029138678E-4,0.005959532598597981
LCS-B,Levenshtein-Pond,25,0,2.4570516504049785E-4,0.0,2.5203526756723167E-4,4.977404326077296E-4
LCS-B,Levenshtein-Pond,30,2,6.127450980392157E-5,7.640586797066015E-5,1.7722783755512637E-4,3.149082153297081E-4
LCS-B,Levenshtein-Pond,30,5,0.0016521836007130125,2.3940505297473513E-4,1.7722783755512637E-4,0.002068816491242874
LCS-B,Levenshtein-Pond,30,7,0.004096270610516934,2.3940505297473513E-4,1.7722783755512637E-4,0.004512903501046796
LCS-B,Levenshtein-Pond,30,10,0.005658770610516934,2.4466309120067304E-4,1.9304811915613887E-4,0.0060964818208737465
LCS-B,Levenshtein-Pond,30,0,0.0032430926916221037,1.5535859820700897E-4,2.4255442208772677E-4,0.0036410057119168394
LCS-B,Levenshtein-Pond,40,2,6.127450980392157E-5,7.640586797066015E-5,1.7722783755512637E-4,3.149082153297081E-4
LCS-B,Levenshtein-Pond,40,5,8.709336007130125E-4,2.3940505297473513E-4,1.877583655558003E-4,0.001298097019243548
LCS-B,Levenshtein-Pond,40,7,0.002472496100713013,2.3940505297473513E-4,1.877583655558003E-4,0.002899659519243548
LCS-B,Levenshtein-Pond,40,10,0.005438280526611518,4.274810356717447E-4,3.987386783824178E-4,0.00626450024066568
LCS-B,Levenshtein-Pond,40,0,1.2874610071301248E-4,2.6448185066766977E-4,5.282950799791912E-4,9.215230313598734E-4
LCS-B,Levenshtein-Pond,50,2,6.127450980392157E-5,7.640586797066015E-5,1.7722783755512637E-4,3.149082153297081E-4
LCS-B,Levenshtein-Pond,50,5,8.425245098039215E-4,2.3940505297473513E-4,1.877583655558003E-4,0.001269687928334457
LCS-B,Levenshtein-Pond,50,7,0.0024050245098039213,2.3940505297473513E-4,1.939539221026449E-4,0.0028383834848813012
LCS-B,Levenshtein-Pond,50,10,0.003682897751491901,4.274810356717447E-4,6.956828528776126E-4,0.004806061640041258
LCS-B,Levenshtein-Pond,50,0,0.0011029411764705882,8.149959250203749E-5,9.110900096278336E-4,0.0020955307786004592
LCS-B,Levenshtein-Pond,5,2,2.7223230490018146E-4,1.6299918500407498E-4,2.007109149966293E-4,6.359424049008857E-4
LCS-B,Levenshtein-Pond,5,5,0.0035615109610266636,0.001545984577769419,2.5956519747707594E-4,0.005367060736273159
LCS-B,Levenshtein-Pond,5,7,0.004085575801363673,0.001545984577769419,9.455538786638363E-4,0.006577114257796928
LCS-B,Levenshtein-Pond,5,10,0.004449245392006947,0.0023609805027897937,0.0027381628141299147,0.009548388708926655
LCS-B,Levenshtein-Pond,5,0,7.130138329957828E-4,4.4051574613921806E-4,5.040806116641318E-4,0.0016576101907991325
LCS-B,Levenshtein-Pond,60,2,6.127450980392157E-5,7.640586797066015E-5,1.4658494976938145E-4,2.8426532754396316E-4
LCS-B,Levenshtein-Pond,60,5,6.127450980392157E-5,2.3940505297473513E-4,2.1840125334154526E-4,5.190808161202019E-4
LCS-B,Levenshtein-Pond,60,7,6.127450980392157E-5,2.3940505297473513E-4,2.1840125334154526E-4,5.190808161202019E-4
LCS-B,Levenshtein-Pond,60,10,0.00288161570020985,4.274810356717447E-4,7.263257406633577E-4,0.004035422476544952
LCS-B,Levenshtein-Pond,60,0,0.0024050245098039213,0.0,4.6843108103421547E-4,0.0028734555908381367
LCS-B,Levenshtein-Pond,8,2,0.001048561694414608,0.0,2.007109149966293E-4,0.0012492726094112372
LCS-B,Levenshtein-Pond,8,5,0.0012921898803216543,0.001448185066766974,2.2892230969133098E-4,0.0029692972567799594
LCS-B,Levenshtein-Pond,8,7,0.0030191635645321806,0.001448185066766974,2.5956519747707594E-4,0.004726913828776231
LCS-B,Levenshtein-Pond,8,10,0.006923440710996827,0.001545984577769419,2.5956519747707594E-4,0.008728990486243322
LCS-B,Levenshtein-Pond,8,0,0.0015825199449371267,1.6049150523478152E-4,4.699205831806979E-4,0.002212932033352606
LCS-B,Levenshtein,10,2,0.0011574074074074073,1.490846204305564E-5,2.5574139430208172E-5,0.0011978900088806712
LCS-B,Levenshtein,10,5,0.00732285833578937,0.005141492409507545,4.758997757806528E-5,0.012511940722874981
LCS-B,Levenshtein,10,7,0.008457665990702514,0.005527268732225078,5.3785534124909884E-5,0.014038720257052504
LCS-B,Levenshtein,10,10,0.0125871302764168,0.005956660836135639,9.75105778499536E-5,0.01864130169040239
LCS-B,Levenshtein,10,0,0.009183240703346193,5.723707368434828E-4,5.612046743596346E-4,0.01031681611454931
LCS-B,Levenshtein,15,2,0.0010416666666666667,1.0630381630700542E-4,1.7623629762785944E-5,0.001165594112736458
LCS-B,Levenshtein,15,5,0.002873453573884608,0.005753061296805318,4.939332573983872E-5,0.008675908196429763
LCS-B,Levenshtein,15,7,0.0037588702405512743,0.005954120136516859,7.140916388769582E-5,0.00978439954095583
LCS-B,Levenshtein,15,10,0.00879633594144143,0.006208193349580013,3.806237588165765E-4,0.015385153049838021
LCS-B,Levenshtein,15,0,0.0018107166955851164,0.003065142044093888,1.3538276409101295E-4,0.005011241503770017
LCS-B,Levenshtein,20,2,0.0,3.859955996662705E-4,0.0,3.859955996662705E-4
LCS-B,Levenshtein,20,5,0.001603835978835979,3.859955996662705E-4,2.3819186309630548E-5,0.00201365076481188
LCS-B,Levenshtein,20,7,0.003270502645502645,0.0028309833747273954,4.21516726864314E-4,0.006523002747094354
LCS-B,Levenshtein,20,10,0.004710106504287538,0.005719961467150366,9.294976243704384E-4,0.011359565595808342
LCS-B,Levenshtein,20,0,0.0021131566390187083,9.934946524720097E-4,2.4127972193229943E-4,0.0033479310134230176
LCS-B,Levenshtein,25,2,8.680555555555555E-5,1.7781729273171816E-4,0.0,2.646228482872737E-4
LCS-B,Levenshtein,25,5,0.0017650462962962962,0.003132177520930577,1.7623629762785944E-5,0.00491484744698966
LCS-B,Levenshtein,25,7,0.003878141534391534,0.0033359265021856706,2.854623050956065E-4,0.007499530341672811
LCS-B,Levenshtein,25,10,0.007944233488414523,0.0034549116953734,8.410449217027459E-4,0.012240190105490668
LCS-B,Levenshtein,25,0,0.0032951986608082662,0.0010132645695291053,2.087525813697211E-4,0.004517215811707093
LCS-B,Levenshtein,30,2,8.680555555555555E-5,5.5567903978661923E-5,0.0,1.4237345953421748E-4
LCS-B,Levenshtein,30,5,0.0017650462962962962,0.00303030303030303,0.0,0.0047953493265993265
LCS-B,Levenshtein,30,7,0.0028364748677248675,0.003132177520930577,2.6783867533282054E-4,0.006236491063988265
LCS-B,Levenshtein,30,10,0.010987273582739831,0.0034008489474450176,5.990691084095584E-4,0.014987191638594407
LCS-B,Levenshtein,30,0,0.0038947373268493958,4.914959568965368E-4,2.920203999180891E-4,0.0046782536836640215
