recommender,similarity,neighbor_size,rec_size,Temporal-6-1-2,Temporal-6-2-3,Temporal-6-3-4,Temporal-6-4-5,Temporal-6-5-6,accum
Dominance,LCS-Ponderado,25,2,0.0,0.0,7.558578987150416E-5,6.277463904582549E-5,0.0,1.3836042891732963E-4
Dominance,LCS-Ponderado,25,5,0.010565337246009514,0.0014367816091954023,1.735673693345651E-4,9.532326126264706E-5,0.0,0.012271009485802129
Dominance,LCS-Ponderado,25,7,0.012150298959119126,0.0015487887776541834,1.8221280281659988E-4,1.3908962857851645E-4,1.9460932178651357E-5,0.014039851100347077
Dominance,LCS-Ponderado,25,10,0.012472533115939752,0.002710952545007292,4.2271304331684037E-4,0.0031473452235507055,1.9460932178651357E-5,0.018773004859993243
Dominance,LCS-Ponderado,25,0,0.00949546485260771,2.53130258691994E-4,7.15000715000715E-5,2.7845933785870217E-4,1.2151216189596946E-4,0.010220066682554449
Dominance,LCS-Ponderado,30,2,0.0,0.0013789973467392823,7.558578987150416E-5,6.277463904582549E-5,0.0,0.0015173577756566119
Dominance,LCS-Ponderado,30,5,0.007589146769819038,0.0024215137229597738,1.8221280281659988E-4,6.277463904582549E-5,0.0,0.010255647934641237
Dominance,LCS-Ponderado,30,7,0.008718046605615428,0.0024215137229597738,1.8221280281659988E-4,2.506554198050971E-4,0.0,0.0115724285511969
Dominance,LCS-Ponderado,30,10,0.009409123488968978,0.0034513053821343224,4.2271304331684037E-4,2.506554198050971E-4,0.0,0.013533797334225238
Dominance,LCS-Ponderado,30,0,0.001526743738431045,0.002240143369175627,1.6437672833564525E-4,4.752509061032766E-4,6.589134517181168E-5,0.004472406087217405
Dominance,LCS-Ponderado,40,2,0.003968253968253968,3.8402457757296467E-4,7.558578987150416E-5,4.663258900547036E-4,0.0,0.004894190225753141
Dominance,LCS-Ponderado,40,5,0.004368398320075632,5.304836061232057E-4,1.735673693345651E-4,4.663258900547036E-4,0.0,0.005538775185588106
Dominance,LCS-Ponderado,40,7,0.006647724684767851,6.774020998158929E-4,1.735673693345651E-4,4.922420254405949E-4,0.0,0.007990936179358903
Dominance,LCS-Ponderado,40,10,0.0070384561053095695,0.003461580287219887,4.1406760983480554E-4,6.405105664016761E-4,0.0,0.011554614568765937
