recommender,similarity,neighbor_size,rec_size,Temporal-3-1-2,Temporal-3-2-3,accum
Dominance,LCS-Puro,10,2,3.3333333333333335E-5,6.118116354336827E-6,3.945144968767016E-5
Dominance,LCS-Puro,10,5,9.090395480225988E-4,4.443449469025651E-5,9.534740427128553E-4
Dominance,LCS-Puro,10,7,0.0010384587399417907,9.306921902664155E-5,0.0011315279589684322
Dominance,LCS-Puro,10,10,0.0010384587399417907,1.633090530460031E-4,0.0012017677929877938
Dominance,LCS-Puro,10,0,1.4696969696969698E-4,3.445721108375217E-4,4.915418078072186E-4
Dominance,LCS-Puro,15,2,0.0012833333333333334,6.118116354336827E-6,0.0012894514496876702
Dominance,LCS-Puro,15,5,0.002159039548022599,4.789256045575125E-5,0.00220693210847835
Dominance,LCS-Puro,15,7,0.002201412429378531,9.889029639855769E-5,0.0023003027257770883
Dominance,LCS-Puro,15,10,0.002201412429378531,9.737809350687239E-4,0.0031751933644472547
Dominance,LCS-Puro,15,0,0.0014817154596815612,1.420185783105199E-4,0.0016237340379920812
Dominance,LCS-Puro,20,2,0.0012833333333333334,6.118116354336827E-6,0.0012894514496876702
Dominance,LCS-Puro,20,5,0.0013257062146892653,2.87343712877914E-5,0.0013544405859770567
Dominance,LCS-Puro,20,7,0.0013257062146892653,2.1065808533170092E-4,0.0015363643000209663
Dominance,LCS-Puro,20,10,0.0013257062146892653,2.9517352417784845E-4,0.0016208797388671137
Dominance,LCS-Puro,20,0,0.001292372881355932,2.375139463103039E-4,0.001529886827666236
Dominance,LCS-Puro,25,2,0.0012833333333333334,6.118116354336827E-6,0.0012894514496876702
Dominance,LCS-Puro,25,5,0.0013257062146892653,2.87343712877914E-5,0.0013544405859770567
Dominance,LCS-Puro,25,7,0.0014043109801031685,9.955309233694416E-5,0.0015038640724401127
Dominance,LCS-Puro,25,10,0.0014043109801031685,1.9330047939141782E-4,0.0015976114594945863
Dominance,LCS-Puro,25,0,0.0014104519774011297,1.4522123627002612E-4,0.001555673213671156
Dominance,LCS-Puro,30,2,0.0012833333333333334,0.0,0.0012833333333333334
Dominance,LCS-Puro,30,5,0.0037833333333333334,6.401638819537802E-5,0.0038473497215287113
Dominance,LCS-Puro,30,7,0.003825706214689266,1.1911851094506674E-4,0.0039448247256343326
Dominance,LCS-Puro,30,10,0.005118079096045197,0.005494581807573906,0.010612660903619103
Dominance,LCS-Puro,30,0,0.0014726190476190477,1.0762981763557912E-4,0.0015802488652546269
Dominance,LCS-Puro,40,2,0.0012833333333333334,5.6082733248087584E-6,0.0012889416066581422
Dominance,LCS-Puro,40,5,0.0038428571428571427,4.4457779237882936E-4,0.004287434935235972
Dominance,LCS-Puro,40,7,0.004676190476190476,5.149211192518005E-4,0.005191111595442277
Dominance,LCS-Puro,40,10,0.004676190476190476,5.149211192518005E-4,0.005191111595442277
Dominance,LCS-Puro,40,0,0.004712422360248447,3.514790090207924E-4,0.005063901369269239
Dominance,LCS-Puro,50,2,0.0013807359307359307,1.930848387541301E-4,0.0015738207694900607
Dominance,LCS-Puro,50,5,0.001414069264069264,1.930848387541301E-4,0.0016071541028233943
Dominance,LCS-Puro,50,7,0.003914069264069264,2.497383410079542E-4,0.004163807605077218
Dominance,LCS-Puro,50,10,0.004141341991341991,4.0189384293299707E-4,0.004543235834274988
Dominance,LCS-Puro,50,0,0.0013474025974025974,4.512876908210113E-4,0.0017986902882236087
Dominance,LCS-Puro,5,2,7.570621468926553E-5,3.810712472129795E-4,4.5677746190224503E-4
Dominance,LCS-Puro,5,5,7.570621468926553E-5,0.0016619605216651025,0.001737666736354368
Dominance,LCS-Puro,5,7,4.145534550195567E-4,0.004411429502732851,0.004825982957752407
Dominance,LCS-Puro,5,10,0.0029569263363754894,0.004680266090467076,0.007637192426842566
Dominance,LCS-Puro,5,0,1.6154581368675925E-4,0.0013597248840653633,0.0015212706977521225
Dominance,LCS-Puro,60,2,0.00125,5.6082733248087584E-6,0.0012556082733248088
Dominance,LCS-Puro,60,5,0.0019795454545454543,5.6082733248087584E-6,0.001985153727870263
Dominance,LCS-Puro,60,7,0.0019795454545454543,3.0884578847105425E-5,0.0020104300333925597
Dominance,LCS-Puro,60,10,0.0022068181818181818,1.2472678426987547E-4,0.0023315449660880573
Dominance,LCS-Puro,60,0,0.0012833333333333334,2.8718571169786505E-4,0.0015705190450311984
Dominance,LCS-Puro,8,2,7.570621468926553E-5,6.118116354336827E-6,8.182433104360236E-5
Dominance,LCS-Puro,8,5,7.570621468926553E-5,5.0552611044593335E-5,1.2625882573385886E-4
Dominance,LCS-Puro,8,7,2.4699823795938913E-4,9.274988021892516E-5,3.397481181783143E-4
Dominance,LCS-Puro,8,10,2.4699823795938913E-4,2.358768737396195E-4,4.828751116990086E-4
Dominance,LCS-Puro,8,0,7.121212121212121E-5,1.2424902823683623E-4,1.9546114944895746E-4
Dominance,LCS-R,10,2,1.7395182872435324E-4,1.5662013693509754E-4,3.305719656594508E-4
Dominance,LCS-R,10,5,1.992043539768785E-4,4.205029802765305E-4,6.19707334253409E-4
Dominance,LCS-R,10,7,2.415772353328107E-4,4.2741911180751996E-4,6.689963471403306E-4
Dominance,LCS-R,10,10,0.0010996630439136688,4.875871834487713E-4,0.0015872502273624402
Dominance,LCS-R,10,0,2.0717225603024175E-4,8.377800365592719E-5,2.9095025968616894E-4
Dominance,LCS-R,15,2,4.2372881355932206E-5,6.118116354336827E-6,4.8490997710269035E-5
